player_name,year,k_percent,bb_percent,first_inning_era,first_inning_whip
Will Warren,2025,25.8,9.9,5.33,1.56
Garrett Crochet,2025,30.8,6.4,2.42,1.04
Janson Junk,2025,17.5,2.7,3.75,0.83
José Berríos,2025,19.8,8.0,3.67,1.22
Aaron Nola,2025,23.8,7.2,5.40,1.30
Mitchell Parker,2025,14.5,9.0,6.48,1.84
Chris Paddack,2025,17.2,5.6,6.84,1.68
Michael Wacha,2025,17.7,6.3,1.44,1.00
Mike Burrows,2025,23.8,8.8,3.60,1.07
Kyle Freeland,2025,16.0,5.8,7.83,2.00
Dean Kremer,2025,20.3,6.1,3.75,1.29
Cristian Javier,2025,21.9,6.3,9.00,1.50
Logan Allen,2025,18.4,9.6,3.52,1.26
Davis Martin,2025,16.5,7.6,2.50,1.06
Mick Abel,2025,19.4,8.3,1.50,1.33
Freddy Peralta,2025,26.2,9.0,2.08,1.08
Logan Webb,2025,26.3,5.3,3.12,1.12
Cal Quantrill,2025,17.4,6.4,3.00,0.96
Clay Holmes,2025,18.7,9.4,2.16,1.32
Jalen Beeks,2025,20.6,9.0,0.00,1.50
Andrew Abbott,2025,21.4,6.7,1.23,0.82
Nestor Cortes,2025,20.8,14.2,18.00,3.20
Tyler Glasnow,2025,30.6,11.9,2.25,0.83
Victor Mederos,2025,16.1,16.1,13.50,3.00
Cade Horton,2025,19.4,7.8,4.50,1.56
George Kirby,2025,25.4,6.2,2.81,0.88
Jeffrey Springs,2025,19.5,7.5,7.13,1.63
